window_start_idx,window_end_idx,score,label
0,127,0.028282046,0
16,143,0.030494213,0
32,159,0.027004242,0
48,175,0.02958417,0
64,191,0.017038345,0
80,207,0.02010119,0
96,223,0.016514063,0
112,239,0.011872649,0
128,255,0.011121273,0
144,271,0.013843298,0
160,287,0.012008667,0
176,303,0.010555744,0
192,319,0.009710431,0
208,335,0.011872768,0
224,351,0.032465935,0
240,367,0.02641213,0
256,383,0.024409056,0
272,399,0.012092233,0
288,415,0.013301969,0
304,431,0.013680935,0
320,447,0.015430927,0
336,463,0.01372695,0
352,479,0.012434244,0
368,495,0.012641668,0
384,511,0.012663722,0
400,527,0.015200853,0
416,543,0.00936985,0
432,559,0.0060771704,0
448,575,0.0061724186,0
464,591,0.0050622225,0
480,607,0.004910946,0
496,623,0.004827857,0
512,639,0.004451275,0
528,655,0.0047733784,0
544,671,0.0050976276,0
560,687,0.0050730705,0
576,703,0.004773259,0
592,719,0.0050017834,0
608,735,0.004679799,0
624,751,0.0051198006,0
640,767,0.0049886703,0
656,783,0.005126238,0
672,799,0.0052928925,0
688,815,0.005264759,0
704,831,0.005761385,0
720,847,0.0062327385,0
736,863,0.0061426163,0
752,879,0.0077340603,0
768,895,0.010578871,0
784,911,0.012772679,0
800,927,0.010576129,0
816,943,0.008141756,0
832,959,0.0088124275,0
848,975,0.014133334,0
864,991,0.015212059,0
880,1007,0.01341331,0
896,1023,0.007560134,0
912,1039,0.00848484,0
928,1055,0.009400129,0
944,1071,0.0105826855,0
960,1087,0.010922432,0
976,1103,0.011475325,0
992,1119,0.011049271,0
1008,1135,0.013272643,0
1024,1151,0.034575462,0
1040,1167,0.034793735,0
1056,1183,0.022165895,0
1072,1199,0.0149850845,0
1088,1215,0.010601163,0
1104,1231,0.009043217,0
1120,1247,0.0072710514,0
1136,1263,0.005601406,0
1152,1279,0.0054730177,0
1168,1295,0.0065705776,0
1184,1311,0.006995201,0
1200,1327,0.008844852,0
1216,1343,0.0130957365,0
1232,1359,0.017004251,0
1248,1375,0.057184815,0
1264,1391,0.06989479,0
1280,1407,0.046901822,0
1296,1423,0.055348158,0
1312,1439,0.051120758,0
1328,1455,0.05756378,0
1344,1471,0.04336095,0
1360,1487,0.027969837,0
1376,1503,0.021665096,0
1392,1519,0.02625513,0
1408,1535,0.016052485,0
1424,1551,0.036046863,0
1440,1567,0.01508522,0
1456,1583,0.008628368,0
1472,1599,0.007745981,0
1488,1615,0.008474827,0
1504,1631,0.0067031384,0
1520,1647,0.008078456,0
1536,1663,0.008811355,0
1552,1679,0.010200024,0
1568,1695,0.014875412,0
1584,1711,0.034966588,0
1600,1727,0.01899302,0
1616,1743,0.024802327,0
1632,1759,0.07138324,0
1648,1775,0.03559804,0
1664,1791,0.010916114,0
1680,1807,0.021362543,0
1696,1823,0.029749751,0
1712,1839,0.02171135,0
1728,1855,0.02000451,0
1744,1871,0.011808634,0
1760,1887,0.012981296,0
1776,1903,0.037047863,0
1792,1919,0.02493596,0
1808,1935,0.009008169,0
1824,1951,0.012965083,0
1840,1967,0.014805317,0
1856,1983,0.017213583,0
1872,1999,0.010775089,0
1888,2015,0.010797501,0
1904,2031,0.00771904,0
1920,2047,0.008086681,0
1936,2063,0.010060549,0
1952,2079,0.011455774,0
1968,2095,0.009117961,0
1984,2111,0.008377314,0
2000,2127,0.012408018,0
2016,2143,0.014607906,0
2032,2159,0.015065789,0
2048,2175,0.013116598,0
2064,2191,0.016064405,0
2080,2207,0.04248333,0
2096,2223,0.07614565,0
2112,2239,0.14123535,0
2128,2255,0.21416736,0
2144,2271,0.0503304,0
2160,2287,0.04984212,0
2176,2303,0.08502281,0
2192,2319,0.021064281,0
2208,2335,0.025957823,0
2224,2351,0.016751647,0
2240,2367,0.012778759,0
2256,2383,0.013903141,0
2272,2399,0.018301964,0
2288,2415,0.01202476,0
2304,2431,0.009611607,0
2320,2447,0.011806965,0
2336,2463,0.008643031,0
2352,2479,0.008700252,0
2368,2495,0.00937593,0
2384,2511,0.007236004,0
2400,2527,0.0120847225,0
2416,2543,0.020895123,0
2432,2559,0.062147856,0
2448,2575,0.068896055,0
2464,2591,0.026807785,0
2480,2607,0.070121884,0
2496,2623,0.052595854,0
2512,2639,0.07030654,0
2528,2655,0.02114582,0
2544,2671,0.0260154,0
2560,2687,0.00978899,0
2576,2703,0.008319378,0
2592,2719,0.0069463253,0
2608,2735,0.0052895546,0
2624,2751,0.006912589,0
2640,2767,0.0069048405,0
2656,2783,0.006154418,0
2672,2799,0.006831169,0
2688,2815,0.0060960054,0
