timestamp_ms,accel_x_mean,accel_x_std,accel_y_mean,accel_y_std,accel_z_mean,accel_z_std,gyro_x_mean,gyro_y_mean,gyro_z_mean,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,yaw_speed,foot_force_0,foot_force_1,foot_force_2,foot_force_3,body_height,mode,gait_type,error_code,power_v_mean,power_a_mean
340,-0.019593,0.055582,-0.182239,0.029843,9.563040,0.031689,-0.007918,-0.005894,0.002557,-0.053168,-0.136919,0.316797,-0.001697,-0.004187,-0.022949,-0.016233,-0.018239,-0.707648,0.012783,0.000000,0.000000,0.000000,0.000000,0.322441,0.000000,0.000000,100.000000,30.128294,-1.965000
360,-0.013368,0.060164,-0.178248,0.032920,9.571060,0.033466,-0.008132,-0.005965,0.002557,-0.053133,-0.136888,0.316808,-0.006199,0.008899,-0.022173,-0.016223,-0.018227,-0.707434,0.010653,0.000000,0.000000,0.000000,0.000000,0.322441,0.000000,0.000000,100.000000,30.119440,-1.965000
380,-0.013438,0.058517,-0.182461,0.030390,9.578970,0.024780,-0.008488,-0.005464,0.000962,-0.053131,-0.136877,0.316810,-0.001052,-0.013769,-0.022753,-0.016232,-0.018271,-0.707411,-0.008522,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.119440,-1.965000
400,-0.021934,0.061325,-0.180762,0.029897,9.577926,0.024502,-0.008763,-0.005051,-0.000859,-0.053142,-0.136920,0.316809,-0.006986,-0.015433,-0.022599,-0.016291,-0.018179,-0.707748,-0.019175,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.965000
420,-0.013567,0.054780,-0.173220,0.033393,9.580359,0.025498,-0.008487,-0.003551,0.001882,-0.053164,-0.136942,0.316807,0.003405,-0.003691,-0.022457,-0.016319,-0.018170,-0.707921,0.014914,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.965000
440,-0.006449,0.051956,-0.173116,0.035339,9.578815,0.027016,-0.008728,-0.003093,0.003986,-0.053140,-0.136919,0.316797,0.003992,0.003993,-0.023043,-0.016334,-0.018187,-0.707724,0.021305,0.000000,0.000000,0.000000,0.000000,0.322444,0.000000,0.000000,100.000000,30.119440,-1.965000
460,-0.005522,0.053242,-0.176630,0.035186,9.570049,0.033578,-0.008763,-0.002440,0.004570,-0.053102,-0.136881,0.316800,0.008663,-0.003388,-0.023409,-0.016344,-0.018201,-0.707465,0.005326,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.965000
480,-0.023822,0.051799,-0.177929,0.034137,9.568507,0.040119,-0.007883,-0.003267,0.003160,-0.053111,-0.136888,0.316789,-0.008357,0.000298,-0.023183,-0.016308,-0.018173,-0.707571,-0.010653,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.128294,-1.965000
500,-0.029387,0.055766,-0.176090,0.032380,9.569200,0.040740,-0.007938,-0.003677,0.003539,-0.053152,-0.136943,0.316794,-0.008936,-0.017981,-0.023029,-0.016315,-0.018148,-0.707855,-0.011718,0.000000,0.000000,0.000000,0.000000,0.322445,0.000000,0.000000,100.000000,30.128294,-1.965000
520,-0.024483,0.055918,-0.174275,0.033708,9.567538,0.037803,-0.008041,-0.004364,0.006048,-0.053170,-0.136934,0.316800,0.003372,0.008721,-0.022537,-0.016310,-0.018206,-0.707859,0.019175,0.000000,0.000000,0.000000,0.000000,0.322444,0.000000,0.000000,100.000000,30.128294,-1.965000
540,-0.011692,0.065384,-0.182039,0.027102,9.574214,0.043445,-0.006995,-0.004616,0.006782,-0.053146,-0.136888,0.316814,-0.002272,-0.002869,-0.022074,-0.016274,-0.018247,-0.707571,0.017044,0.000000,0.000000,0.000000,0.000000,0.322437,0.000000,0.000000,100.000000,30.119440,-1.965000
560,-0.015682,0.063575,-0.185630,0.029282,9.573773,0.039610,-0.007137,-0.004652,0.003089,-0.053153,-0.136880,0.316826,-0.001987,-0.003949,-0.022532,-0.016268,-0.018287,-0.707583,-0.002131,0.000000,0.000000,0.000000,0.000000,0.322438,0.000000,0.000000,100.000000,30.119440,-1.974000
580,-0.023672,0.066253,-0.191189,0.032708,9.574298,0.037627,-0.009759,-0.005189,0.001443,-0.053180,-0.136901,0.316831,-0.008306,-0.012827,-0.022251,-0.016332,-0.018285,-0.707852,-0.009587,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.119440,-1.974000
